,Product Name,Prices,Description,Reviews
71,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹37,022",39.62 cm (15.6 Inch) Display,4.2
72,ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11...,"₹67,990",1 Year Onsite warranty,4.4
73,HP Laptop Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fq5329TU Thin and Light...,"₹46,490",Intel Core i5 Processor (12th Gen),4.1
74,Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹13,990",8 GB DDR4 RAM,3.7
75,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,"₹32,990",Windows 11 Operating System,4
76,DELL AMD Ryzen 5 Dual Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 Thin and Light Lapt...,"₹34,890",512 GB SSD,4.7
77,"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Ho...","₹42,990",39.62 cm (15.6 inch) Display,4.4
78,Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,"₹55,990",1 Year Carry-in Warranty,4.3
79,HP AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,"₹37,022",Intel Core i3 Processor (12th Gen),4.2
80,ASUS Vivobook 15X Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) K3504VAB-NJ541WS T...,"₹50,990",16 GB DDR4 RAM,4.1
81,Lenovo IdeaPad Flex 5 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 14ABR8 2 in 1 L...,"₹60,389",Windows 11 Operating System,4.2
82,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,"₹54,990",512 GB SSD,4.3
83,ASUS Vivobook Go 15 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ521WS Th...,"₹35,990",39.62 cm (15.6 Inch) Display,4.2
84,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,"₹53,460",1 Year Onsite Warranty,4.1
85,Acer Aspire Intel Core i3 13th Gen 1305U - (8 GB/512 GB SSD/Windows 11 Home) AL15-53 Notebook,"₹32,990",Intel Core i3 Processor (12th Gen),4.4
86,ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVI...,"₹59,990",8 GB DDR4 RAM,4.2
87,"ASUS Vivobook 16X for Creator, Intel Core i7 12th Gen 12700H - (16 GB/512 GB SSD/Windows 11 Home/4 GB ...","₹74,990",Windows 11 Operating System,4.3
88,Lenovo IdeaPad Slim 1 Intel Celeron Dual Core N4020 - (8 GB/256 GB SSD/Windows 11 Home) 14IGL7 Thin an...,"₹25,490",512 GB SSD,4.1
89,ASUS Vivobook Go 15 OLED AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK322...,"₹38,990",39.62 cm (15.6 Inch) Display,4.4
90,Colorful Evol P15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,"₹83,990",1 Year Onsite Warranty,4.5
91,HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,"₹28,788",Intel Core i5 Processor (11th Gen),3.9
